100
numero;date_debut;date_fin;categorie;km;client;car
0;24-5-2019-3;28-6-2019-3;C;2695;692734792;UR-436-WE
1;26-9-2019-12;20-11-2019-12;C;7205;692427684;KP-625-JR
2;24-9-2018-9;1-7-2019-9;A;28000;667492549;KS-825-AH
3;12-8-2018-11;26-11-2018-11;B;5830;686415461;FY-302-ST
4;4-8-2018-9;31-5-2019-9;A;31800;668105057;DQ-650-RX
5;12-10-2018-12;19-2-2019-12;B;9750;660129638;FH-834-RB
6;14-8-2019-8;17-10-2019-8;B;9280;692791035;JV-677-ZS
7;17-2-2018-5;8-3-2018-5;B;1862;693791186;FM-760-LZ
8;16-6-2019-1;16-10-2019-1;C;11712;676491273;TJ-048-AV
9;10-5-2018-10;5-12-2018-10;C;29051;695471821;UW-647-EQ
10;20-8-2018-5;18-4-2019-5;C;18557;683108046;UN-722-WP
11;3-4-2019-1;16-5-2019-1;C;4687;695420647;MK-083-BG
12;4-8-2019-3;17-9-2019-3;B;5764;656813286;YA-122-SW
13;2-12-2018-4;19-1-2019-4;C;6048;688879384;XE-979-KY
14;29-10-2018-1;27-10-2019-1;C;32307;659038757;WW-137-LU
15;30-5-2018-10;11-7-2019-10;B;54131;692734792;HW-288-SL
16;1-12-2018-1;27-3-2019-1;C;16008;661639791;FO-553-XX
17;18-1-2018-3;28-8-2019-3;A;36981;669541154;TU-461-JX
18;12-6-2019-10;5-9-2019-10;C;9095;668762659;ID-620-ML
19;11-3-2018-5;18-9-2018-5;B;21774;688879384;LM-066-IU
20;28-4-2018-4;21-5-2019-4;C;57812;688942594;QL-421-OZ
21;23-4-2018-12;28-5-2019-12;B;44800;661151342;YN-174-CI
22;12-7-2019-1;16-10-2019-1;B;6336;674999858;SS-140-XI
23;18-8-2019-4;4-11-2019-4;B;9438;660517935;HN-962-MV
24;17-1-2018-5;13-7-2018-5;A;19470;670540687;OE-229-AB
25;11-1-2019-3;15-6-2019-3;A;7750;667476570;TG-251-AV
26;2-2-2019-2;22-6-2019-2;C;7420;679393322;ID-620-ML
27;27-1-2018-7;10-4-2018-7;B;5767;666911604;QC-002-HZ
28;13-5-2018-12;9-10-2019-12;B;68362;687507021;EL-038-PZ
29;23-1-2018-7;1-3-2019-7;A;24522;660517935;LR-485-MW
30;29-10-2018-9;8-3-2019-9;C;15860;682613649;UW-647-EQ
31;7-4-2018-4;31-5-2019-4;B;54051;674999858;LD-214-BU
32;4-5-2019-2;13-12-2019-2;B;24307;676137687;YG-099-NP
33;21-12-2018-12;8-12-2019-12;B;46464;692786071;ZC-315-OA
34;17-5-2018-7;14-6-2018-7;C;3444;695420647;TJ-048-AV
35;5-5-2019-3;8-6-2019-3;C;2210;661151342;XT-334-SS
36;5-8-2018-4;3-10-2018-4;A;3068;669533356;BG-118-YS
37;1-10-2018-6;1-8-2019-6;C;40432;670931066;EN-160-BD
38;24-1-2019-2;13-3-2019-2;B;5712;679170160;VL-121-ND
39;4-2-2019-4;12-7-2019-4;C;16748;659660856;KP-625-JR
40;24-5-2018-11;21-8-2019-11;B;57658;665955917;KZ-049-ST
41;23-5-2018-12;17-1-2019-12;B;15057;688942594;FM-760-LZ
42;1-2-2019-3;17-9-2019-3;B;13680;686415461;YA-122-SW
43;6-5-2018-1;6-11-2019-1;B;58743;668403512;TK-075-PV
