100
plaque;marque;modele;millesime;kilometrage;categorie;prix;gearbox
GY-475-YO;Koenigsegg;Sportage;2009;281264;C;116335;1
TT-298-ZC;Renault;Jazz;2005;190633;A;181678;0
BG-118-YS;Maserati;Giulietta;2016;259332;A;71974;0
QP-570-ON;Renault;Q2;2015;149600;C;87172;0
VL-121-ND;Toyota;Renegade;2006;176809;B;120858;1
ID-620-ML;Infiniti;2008-SUV;2007;84661;C;172986;1
UR-436-WE;GeneralMotors;Qashqai;2016;65863;C;62849;1
UW-647-EQ;Infiniti;CR-V;2008;195980;C;103809;1
FX-436-UZ;Kia;Tucson;2019;198833;B;108946;1
TF-071-RG;Citroen;ZS;2015;151873;B;19075;0
WQ-374-UO;Infiniti;Mii;2013;147435;A;126937;1
UL-977-WS;Citroen;fortwo;2014;122110;B;106744;0
TU-461-JX;Mazda;ceed;2019;124132;A;72313;0
UU-213-IQ;Infiniti;Compass;2019;17785;A;71435;0
EN-160-BD;Jeep;500X;2015;165023;C;128233;0
BS-975-XG;Ferrari;Stonic;2007;183276;C;22887;0
EX-040-IW;Peugeot;500X;2014;123981;C;55112;0
KP-625-JR;Peugeot;Polo;2018;290035;C;138746;0
JT-837-VL;Peugeot;T-ROC;2019;150212;C;133635;0
YW-110-QV;Dodge;Auris;2017;294452;A;64510;0
SF-445-VT;Dodge;Koleos;2009;261517;C;158116;0
FM-045-QY;TataMotors;Prius;2016;140300;B;190610;0
HZ-235-NF;Kia;Captur;2015;38305;B;85378;0
US-858-GN;Renault;Ateca;2013;107888;B;112577;0
YE-960-WA;GeneralMotors;Doblo;2016;110495;A;65373;0
DQ-650-RX;Volkswagen;500X;2011;277980;A;65642;0
XS-041-WY;Toyota;Juke;2011;188334;B;142078;1
YS-610-AK;Infiniti;Civic;2006;153757;A;197527;0
TX-681-YL;Mazda;Passat;2006;245580;A;16208;1
JN-488-MZ;GeneralMotors;B-Class;2010;246574;B;173423;1
XN-611-EE;Peugeot;C-HR;2007;155221;C;22822;1
UY-450-DB;Suzuki;Grand-C4-SpaceTourer;2007;88822;B;125990;1
LD-214-BU;Peugeot;i20;2005;2562;B;114275;1
NN-866-BD;Ferrari;3-Series;2014;3635;A;156775;0
BE-664-XH;TataMotors;Mirage;2006;56218;A;168168;0
KW-733-RT;Peugeot;Panda;2007;188908;B;161075;0
CJ-460-MC;Koenigsegg;Logan-MCV-Stepway;2016;88683;B;60919;1
LR-485-MW;Renault;Celerio;2017;188956;A;41364;1
OV-446-FI;Maserati;Kodiaq;2009;157215;C;33658;1
XA-698-FI;Peugeot;Grand-C4-SpaceTourer;2015;107599;A;134126;0
OE-229-AB;Volkswagen;Outlander;2007;46975;A;21329;0
MK-083-BG;Dodge;Karoq;2012;69691;C;75084;0
EL-038-PZ;Maserati;Q2;2016;143945;B;37309;1
HN-962-MV;Renault;Jazz;2005;137877;B;166144;0
RX-994-PS;AstonMartin;Jazz;2007;274945;A;31952;1
HW-288-SL;Jeep;CX-3;2006;166584;B;107841;1
KS-825-AH;Suzuki;Tipo;2011;230817;A;81802;0
FM-760-LZ;TataMotors;Viva;2016;128729;B;199959;1
XS-782-VS;Infiniti;C1;2007;275661;A;86468;1
CJ-660-RX;AstonMartin;Golf;2015;110621;C;137375;0
QC-002-HZ;Toyota;308-SW;2011;198745;B;116817;1
NK-672-GU;Lexus;Sandero-Stepway;2013;138373;C;60509;0
YN-174-CI;TataMotors;Ibiza;2012;10839;B;104956;1
SS-140-XI;Volkswagen;Grand-C4-SpaceTourer;2005;61483;B;32073;1
SD-646-NM;Volkswagen;500;2008;164901;C;118762;0
JV-677-ZS;Peugeot;T-ROC;2012;63006;B;40271;0
MU-093-VY;Bentley;forfour;2012;64549;C;68227;0
GL-124-PU;Suzuki;500L;2012;20299;A;186785;1
RN-921-JV;Maserati;Polo;2007;167654;C;26813;1
FO-553-XX;Kia;Fabia;2009;263845;C;15032;0
ZX-433-YS;Koenigsegg;Q2;2006;188763;C;69915;1
VI-037-ND;Peugeot;Megane;2008;150124;B;122140;0
MF-476-OC;AstonMartin;Combo-Life;2015;280542;B;15892;1
WW-137-LU;Mazda;500;2015;26010;C;45245;1
XE-979-KY;Ferrari;C3;2005;297185;C;106120;1
IU-764-BW;Toyota;Corsa;2012;205055;A;51023;0
VZ-302-FG;Subaru;Soul;2011;4360;B;19349;1
LK-666-UZ;Toyota;Juke;2015;89741;B;135842;0
QZ-429-XC;Citroen;Kodiaq;2009;1613;B;107070;1
WB-847-JG;Kia;PROACE-Verso;2008;175450;C;133225;0
YG-099-NP;Mazda;ceed;2011;130963;B;57339;1
CY-308-TK;Peugeot;Outlander;2009;217269;B;169669;1
TK-075-PV;Subaru;Grand-Scenic;2008;213107;B;51351;0
VN-600-IN;TataMotors;Renegade;2006;38196;A;79997;0
QL-421-OZ;Koenigsegg;Fabia;2019;198419;C;138189;1
ZC-315-OA;Volkswagen;GS;2010;167821;B;29331;1
RY-242-NB;Mazda;Traveller;2008;257955;C;74814;1
ZY-110-BJ;Infiniti;Leon;2014;296285;C;31638;1
MK-515-JS;Lexus;Berlingo;2005;60800;B;164764;0
GC-726-WT;Jeep;3-Series;2011;62526;C;32351;0
HH-027-WE;GeneralMotors;Trafic;2018;236796;B;99425;1
NW-735-RL;Subaru;C3;2008;253916;B;161404;1
HA-037-TY;Kia;ZS;2015;259640;C;168568;1
KZ-049-ST;Jeep;Grand-Tourneo-Connect;2015;217046;B;69708;1
VQ-577-YE;Dodge;S-Cross;2007;82592;C;96450;1
TG-251-AV;GeneralMotors;Transporter-Shuttle;2007;296333;A;196586;1
AT-848-DZ;Subaru;Clio;2006;138746;B;58473;1
FY-302-ST;Jeep;Vitara;2018;262486;B;22908;0
XT-334-SS;Koenigsegg;Logan-MCV-Stepway;2005;227215;C;168295;0
YA-122-SW;Koenigsegg;Insignia-Country-Tourer;2006;142538;B;51144;1
YZ-415-ZU;Maserati;ASX;2007;104337;A;63044;1
US-076-MP;Bentley;C-MAX;2005;171829;A;128583;0
FH-834-RB;Peugeot;Touran;2006;92858;B;129660;0
TJ-048-AV;Ferrari;MG3;2016;276091;C;118754;1
MD-325-EH;Ferrari;CLA;2006;86250;B;130944;1
XX-527-GJ;GeneralMotors;ceed;2019;80681;A;156857;0
HF-326-UT;Lexus;Tiguan;2018;77767;C;107907;1
LM-066-IU;Volkswagen;DS-7-Crossback;2018;165750;B;158124;0
VX-421-PM;Renault;C1;2016;80739;B;33618;1
UN-722-WP;Maserati;Logan-MCV-Stepway;2010;109232;C;107355;0
