10000
plaque;marque;modele;millesime;kilometrage;categorie;prix;gearbox
PIY-015;Subaru;Civic;2009;241899;B;103007;0
CWP-170;Maserati;Tourneo_Courier;2018;186991;C;146590;1
GGI-187;Toyota;Carens;2015;11407;C;112422;0
YMC-172;Aston_Martin;Crossland_X;2019;137520;C;119505;0
TAI-072;Toyota;X1;2007;189770;A;159916;1
KFM-360;Jeep;ASX;2008;172295;A;180555;0
KSM-710;Jeep;Kona;2009;161284;A;56730;1
EYV-913;Suzuki;S-Cross;2007;299056;C;97527;0
AIP-662;Bentley;Caddy_Maxi;2019;113732;C;46338;1
MZA-544;Suzuki;Mokka_X;2011;169415;C;67006;1
USK-457;Subaru;C5_Aircross;2017;76105;C;31675;1
IFM-295;_Kia;Grand_Tourneo_Connect;2018;179120;B;190695;0
OGH-009;Mazda;Tiguan;2006;253540;C;182738;1
NJV-365;Koenigsegg;Yaris;2011;84733;B;49760;0
YWS-734;BMW;Kodiaq;2008;41750;C;186419;0
PTW-874;Toyota;fortwo;2009;18812;B;102189;1
MVN-224;Infiniti;Alhambra;2007;43403;C;181680;1
ANZ-610;Maserati;X1;2013;203843;B;199360;1
NOY-269;Aston_Martin;C-Class;2008;140448;C;179411;0
NPH-739;Lexus;Passat;2012;217274;A;184339;0
UDX-726;Bentley;Stonic;2007;183592;B;177590;0
STJ-189;Koenigsegg;Baleno;2019;227130;A;180619;0
JLY-436;_Kia;508;2016;84215;B;83589;0
UKJ-785;Jeep;Q2;2018;125327;B;76281;0
BDF-041;Koenigsegg;595;2012;49132;B;81750;0
BPK-981;BMW;Civic;2007;22902;A;159806;1
ATW-434;Lexus;GS;2006;280766;A;95561;1
DHN-870;Koenigsegg;MX-5;2016;273034;C;100026;0
DQW-833;Lexus;Jazz;2009;136871;C;185062;1
LYR-894;Mazda;308_SW;2009;157813;C;168944;0
XVV-771;Maserati;Ateca;2012;102150;A;66311;1
TIU-100;Suzuki;500C;2009;120909;C;142385;1
ENA-375;Subaru;Kona;2011;148129;A;56052;1
PHC-109;Suzuki;Picanto;2012;264314;B;54744;1
TDT-803;Toyota;2_Series;2012;72377;B;55893;0
YAE-954;Suzuki;Grand_Scenic;2007;140565;C;185277;0
WHU-202;Maserati;Celerio;2006;20220;A;81644;1
MUD-396;Mazda;DS_7_Crossback;2009;170407;C;104676;0
VOJ-800;Koenigsegg;Transporter_Shuttle;2014;63755;B;154640;0
LLI-513;Jeep;Superb;2006;16005;C;171927;0
ZJC-077;Koenigsegg;CX-3;2008;175567;C;193172;0
TUC-966;Aston_Martin;S-Cross;2015;60442;A;37650;0
LLC-015;Toyota;Touran;2010;218222;C;33369;1
RGU-705;Maserati;ZS;2009;278854;B;41429;0
CAL-386;Toyota;T-ROC;2006;242172;A;125154;1
XUV-261;BMW;Transporter_Shuttle;2015;114693;C;151845;0
AMF-708;Jeep;Ibiza;2006;265398;A;165099;0
YIN-785;Renault;CX-3;2005;64225;B;24197;0
RZF-952;_General_Motors;Grand_C4_SpaceTourer;2017;275190;B;189325;1
ZAH-822;Tata_Motors;Renegade;2010;75483;B;97154;0
QPX-491;Koenigsegg;C3_Aircross;2009;73117;C;185762;1
FJZ-758;Toyota;1_Series;2015;91542;C;180790;1
ISI-638;Jeep;GLA-Class;2010;151359;C;66408;0
CPU-225;Infiniti;Qubo;2005;83103;C;174767;0
JWM-750;Infiniti;Megane;2008;87189;A;36423;0
KDT-220;Renault;Sharan;2015;273486;B;16616;1
JKG-620;_General_Motors;X1;2008;270532;B;148161;1
HCA-389;Mazda;Kadjar;2013;244262;C;76373;1
MBP-758;Aston_Martin;Tipo;2009;18639;B;94512;0
TTI-769;Volkswagen;ASX;2006;161891;C;115022;0
NJW-612;Toyota;Prius;2012;131557;C;157152;1
GWI-603;Maserati;Renegade;2013;276338;C;150504;0
YJP-293;Renault;Tiguan_Allspace;2016;106674;B;16542;1
TFO-159;BMW;PROACE_Verso;2005;290286;A;146252;0
BPM-907;Tata_Motors;Berlingo;2016;6273;A;131812;1
